family	concurrency	phase	arm	rep	ops_per_sec	mib_per_sec	p50_ms	p90_ms	p99_ms	request_errors	case_errors	ops	queue_bytes	error_detail
synchronous	8	put	trunk-1g	1	151.66	90.91	23.531	116.087	395.184	0	0	512	1073741824	{}
synchronous	8	get	trunk-1g	1	6036.1	3618.11	0.979	2.23	6.429	0	0	512	1073741824	{}
synchronous	8	head-hit	trunk-1g	1	6467.19	0.0	0.891	2.14	6.656	0	0	512	1073741824	{}
synchronous	8	head-miss	trunk-1g	1	11343.98	0.0	0.544	1.075	3.146	0	0	512	1073741824	{}
synchronous	8	mixed	trunk-1g	1	1217.82	586.57	1.915	17.371	73.056	0	0	512	1073741824	{}
synchronous	32	put	trunk-1g	1	186.07	107.12	30.751	338.91	1428.711	0	0	768	1073741824	{}
synchronous	32	get	trunk-1g	1	5876.44	3383.06	4.299	9.39	18.103	0	0	768	1073741824	{}
synchronous	32	head-hit	trunk-1g	1	6530.78	0.0	4.604	8.021	9.934	0	0	768	1073741824	{}
synchronous	32	head-miss	trunk-1g	1	8366.48	0.0	2.97	6.125	8.042	0	0	768	1073741824	{}
synchronous	32	mixed	trunk-1g	1	1206.22	559.28	5.626	14.515	276.034	0	0	768	1073741824	{}
synchronous	8	put	published-1g	1	146.09	87.57	38.782	103.65	329.547	0	0	512	1073741824	{}
synchronous	8	get	published-1g	1	6033.32	3616.44	1.011	2.306	4.848	0	0	512	1073741824	{}
synchronous	8	head-hit	published-1g	1	6361.37	0.0	0.939	2.247	4.514	0	0	512	1073741824	{}
synchronous	8	head-miss	published-1g	1	8103.21	0.0	0.604	1.658	6.755	0	0	512	1073741824	{}
synchronous	8	mixed	published-1g	1	1004.92	484.03	1.678	19.0	90.245	0	0	512	1073741824	{}
synchronous	32	put	published-1g	1	186.78	107.53	129.002	239.659	818.031	0	0	768	1073741824	{}
synchronous	32	get	published-1g	1	5771.67	3322.74	4.633	8.27	15.574	0	0	768	1073741824	{}
synchronous	32	head-hit	published-1g	1	6414.35	0.0	4.671	8.21	12.044	0	0	768	1073741824	{}
synchronous	32	head-miss	published-1g	1	9581.02	0.0	2.084	6.623	25.927	0	0	768	1073741824	{}
synchronous	32	mixed	published-1g	1	1078.18	499.91	6.278	54.858	241.411	0	0	768	1073741824	{}
synchronous	8	put	optimized-1g	1	153.93	92.27	34.493	107.125	365.204	0	0	512	1073741824	{}
synchronous	8	get	optimized-1g	1	2555.17	1531.6	1.231	5.708	25.852	0	0	512	1073741824	{}
synchronous	8	head-hit	optimized-1g	1	4924.02	0.0	0.961	2.587	12.467	0	0	512	1073741824	{}
synchronous	8	head-miss	optimized-1g	1	10349.02	0.0	0.578	1.081	4.629	0	0	512	1073741824	{}
synchronous	8	mixed	optimized-1g	1	1144.9	551.45	1.832	18.46	75.281	0	0	512	1073741824	{}
synchronous	32	put	optimized-1g	1	187.0	107.66	111.056	292.93	1073.998	0	0	768	1073741824	{}
synchronous	32	get	optimized-1g	1	6132.62	3530.54	4.247	8.554	25.29	0	0	768	1073741824	{}
synchronous	32	head-hit	optimized-1g	1	6419.28	0.0	4.692	8.032	11.003	0	0	768	1073741824	{}
synchronous	32	head-miss	optimized-1g	1	8174.09	0.0	3.946	6.074	8.997	0	0	768	1073741824	{}
synchronous	32	mixed	optimized-1g	1	1114.71	516.86	8.188	34.666	189.322	0	0	768	1073741824	{}
synchronous	8	put	published-1g	2	143.47	86.0	41.232	98.596	369.252	0	0	512	1073741824	{}
synchronous	8	get	published-1g	2	5967.76	3577.14	1.068	2.21	4.266	0	0	512	1073741824	{}
synchronous	8	head-hit	published-1g	2	5700.23	0.0	1.028	2.254	6.187	0	0	512	1073741824	{}
synchronous	8	head-miss	published-1g	2	9748.66	0.0	0.671	1.175	3.429	0	0	512	1073741824	{}
synchronous	8	mixed	published-1g	2	1174.36	565.64	1.696	18.916	64.949	0	0	512	1073741824	{}
synchronous	32	put	published-1g	2	179.14	103.13	140.833	258.995	743.773	0	0	768	1073741824	{}
synchronous	32	get	published-1g	2	6606.88	3803.57	4.021	6.846	11.701	0	0	768	1073741824	{}
synchronous	32	head-hit	published-1g	2	6406.67	0.0	4.557	8.313	13.371	0	0	768	1073741824	{}
synchronous	32	head-miss	published-1g	2	9072.04	0.0	2.983	5.274	7.186	0	0	768	1073741824	{}
synchronous	32	mixed	published-1g	2	911.94	422.84	9.57	55.539	245.221	0	0	768	1073741824	{}
synchronous	8	put	optimized-1g	2	148.91	89.26	32.121	105.748	381.726	0	0	512	1073741824	{}
synchronous	8	get	optimized-1g	2	5234.18	3137.42	1.125	2.829	5.645	0	0	512	1073741824	{}
synchronous	8	head-hit	optimized-1g	2	4813.54	0.0	1.016	3.843	10.778	0	0	512	1073741824	{}
synchronous	8	head-miss	optimized-1g	2	9900.62	0.0	0.657	1.231	2.873	0	0	512	1073741824	{}
synchronous	8	mixed	optimized-1g	2	1140.75	549.45	2.098	14.198	78.269	0	0	512	1073741824	{}
synchronous	32	put	optimized-1g	2	188.12	108.3	116.165	286.815	1014.08	0	0	768	1073741824	{}
synchronous	32	get	optimized-1g	2	6290.31	3621.32	4.234	8.067	16.227	0	0	768	1073741824	{}
synchronous	32	head-hit	optimized-1g	2	6418.22	0.0	4.432	8.795	15.589	0	0	768	1073741824	{}
synchronous	32	head-miss	optimized-1g	2	11734.16	0.0	2.18	3.822	7.074	0	0	768	1073741824	{}
synchronous	32	mixed	optimized-1g	2	1015.07	470.66	6.662	46.106	252.891	0	0	768	1073741824	{}
synchronous	8	put	trunk-1g	2	156.05	93.54	22.691	107.014	436.903	0	0	512	1073741824	{}
synchronous	8	get	trunk-1g	2	6025.53	3611.77	0.96	2.177	5.772	0	0	512	1073741824	{}
synchronous	8	head-hit	trunk-1g	2	6321.11	0.0	0.961	2.3	4.024	0	0	512	1073741824	{}
synchronous	8	head-miss	trunk-1g	2	10401.76	0.0	0.635	1.165	2.679	0	0	512	1073741824	{}
synchronous	8	mixed	trunk-1g	2	1131.8	545.14	1.932	19.536	88.136	0	0	512	1073741824	{}
synchronous	32	put	trunk-1g	2	189.38	109.03	33.648	328.501	1328.25	0	0	768	1073741824	{}
synchronous	32	get	trunk-1g	2	5019.51	2889.73	4.944	9.787	41.786	0	0	768	1073741824	{}
synchronous	32	head-hit	trunk-1g	2	6604.87	0.0	4.657	7.527	10.05	0	0	768	1073741824	{}
synchronous	32	head-miss	trunk-1g	2	7391.64	0.0	4.27	5.954	9.342	0	0	768	1073741824	{}
synchronous	32	mixed	trunk-1g	2	1137.95	527.63	6.213	22.771	313.655	0	0	768	1073741824	{}
synchronous	8	put	optimized-1g	3	154.8	92.79	34.852	101.948	404.621	0	0	512	1073741824	{}
synchronous	8	get	optimized-1g	3	5759.54	3452.33	1.104	2.43	4.351	0	0	512	1073741824	{}
synchronous	8	head-hit	optimized-1g	3	5291.12	0.0	1.078	2.666	5.331	0	0	512	1073741824	{}
synchronous	8	head-miss	optimized-1g	3	10587.96	0.0	0.652	1.113	1.712	0	0	512	1073741824	{}
synchronous	8	mixed	optimized-1g	3	1091.79	525.87	1.757	19.037	76.182	0	0	512	1073741824	{}
synchronous	32	put	optimized-1g	3	185.42	106.75	91.876	271.122	1335.146	0	0	768	1073741824	{}
synchronous	32	get	optimized-1g	3	6434.82	3704.52	4.206	7.995	13.936	0	0	768	1073741824	{}
synchronous	32	head-hit	optimized-1g	3	6384.27	0.0	4.445	8.323	16.38	0	0	768	1073741824	{}
synchronous	32	head-miss	optimized-1g	3	7785.2	0.0	4.096	6.651	9.994	0	0	768	1073741824	{}
synchronous	32	mixed	optimized-1g	3	1061.7	492.27	7.244	39.89	233.64	0	0	768	1073741824	{}
synchronous	8	put	trunk-1g	3	163.4	97.95	22.193	106.674	406.818	0	0	512	1073741824	{}
synchronous	8	get	trunk-1g	3	4906.2	2940.83	1.265	2.764	7.379	0	0	512	1073741824	{}
synchronous	8	head-hit	trunk-1g	3	5860.75	0.0	1.053	2.271	4.826	0	0	512	1073741824	{}
synchronous	8	head-miss	trunk-1g	3	10568.19	0.0	0.651	1.075	2.327	0	0	512	1073741824	{}
synchronous	8	mixed	trunk-1g	3	1190.56	573.44	2.275	13.269	63.918	0	0	512	1073741824	{}
synchronous	32	put	trunk-1g	3	177.94	102.44	33.944	366.864	1761.639	0	0	768	1073741824	{}
synchronous	32	get	trunk-1g	3	6318.77	3637.71	4.305	7.958	12.33	0	0	768	1073741824	{}
synchronous	32	head-hit	trunk-1g	3	5695.7	0.0	4.871	9.541	31.266	0	0	768	1073741824	{}
synchronous	32	head-miss	trunk-1g	3	11903.83	0.0	2.467	2.987	5.859	0	0	768	1073741824	{}
synchronous	32	mixed	trunk-1g	3	1146.57	531.63	5.699	17.303	224.656	0	0	768	1073741824	{}
synchronous	8	put	published-1g	3	145.21	87.04	43.999	101.998	331.276	0	0	512	1073741824	{}
synchronous	8	get	published-1g	3	5691.87	3411.77	1.012	2.768	5.37	0	0	512	1073741824	{}
synchronous	8	head-hit	published-1g	3	5380.66	0.0	0.974	2.491	9.478	0	0	512	1073741824	{}
synchronous	8	head-miss	published-1g	3	11285.19	0.0	0.601	1.002	2.144	0	0	512	1073741824	{}
synchronous	8	mixed	published-1g	3	1044.71	503.19	1.528	19.35	98.383	0	0	512	1073741824	{}
synchronous	32	put	published-1g	3	183.17	105.45	132.048	263.902	776.584	0	0	768	1073741824	{}
synchronous	32	get	published-1g	3	6192.34	3564.93	4.282	8.92	15.965	0	0	768	1073741824	{}
synchronous	32	head-hit	published-1g	3	6542.26	0.0	4.575	8.738	15.478	0	0	768	1073741824	{}
synchronous	32	head-miss	published-1g	3	6966.0	0.0	4.46	6.942	12.49	0	0	768	1073741824	{}
synchronous	32	mixed	published-1g	3	817.71	379.15	7.05	66.029	383.296	0	0	768	1073741824	{}
sustained	8	put	trunk-1g	1	282.7	161.39	0.215	90.591	483.014	0	0	4096	1073741824	{}
sustained	8	get	trunk-1g	1	4174.09	2382.86	0.666	2.932	21.13	0	0	4096	1073741824	{}
sustained	8	head-hit	trunk-1g	1	10924.01	0.0	0.578	1.612	5.695	0	0	4096	1073741824	{}
sustained	8	head-miss	trunk-1g	1	8649.69	0.0	0.56	1.139	10.696	0	0	4096	1073741824	{}
sustained	8	mixed	trunk-1g	1	2874.4	1343.22	0.72	3.869	39.447	0	0	4096	1073741824	{}
sustained	32	put	trunk-1g	1	324.37	185.17	0.089	276.564	1576.515	0	0	16384	1073741824	{}
sustained	32	get	trunk-1g	1	11846.5	6762.81	1.194	6.261	19.079	0	0	16384	1073741824	{}
sustained	32	head-hit	trunk-1g	1	13163.74	0.0	0.045	6.66	19.599	0	0	16384	1073741824	{}
sustained	32	head-miss	trunk-1g	1	6950.67	0.0	4.631	6.808	13.186	0	0	16384	1073741824	{}
sustained	32	mixed	trunk-1g	1	4527.38	2068.89	0.353	10.543	92.953	0	0	16384	1073741824	{}
sustained	8	put	published-1g	1	321.72	183.66	0.223	107.105	291.281	0	0	4096	1073741824	{}
sustained	8	get	published-1g	1	1482.5	846.32	0.694	5.794	88.545	0	0	4096	1073741824	{}
sustained	8	head-hit	published-1g	1	8508.93	0.0	0.582	1.622	16.681	0	0	4096	1073741824	{}
sustained	8	head-miss	published-1g	1	10755.3	0.0	0.563	1.132	4.377	0	0	4096	1073741824	{}
sustained	8	mixed	published-1g	1	2946.64	1376.98	0.693	3.877	36.544	0	0	4096	1073741824	{}
sustained	32	put	published-1g	1	332.1	189.59	0.09	265.039	1483.536	0	0	16384	1073741824	{}
sustained	32	get	published-1g	1	4429.96	2528.93	0.949	7.597	29.463	0	0	16384	1073741824	{}
