family	concurrency	phase	arm	rep	ops_per_sec	mib_per_sec	p50_ms	p90_ms	p99_ms	request_errors	case_errors	ops	queue_bytes	error_detail
leaf-misses	1	put	before	1	6642.22	3981.42	0.057	0.303	1.941	0	0	512	1073741824	{}
leaf-misses	1	get	before	1	1309.24	784.77	0.556	0.7	2.383	0	0	512	1073741824	{}
leaf-misses	1	head-hit	before	1	1412.41	0.0	0.649	0.749	2.599	0	0	512	1073741824	{}
leaf-misses	1	head-miss	before	1	2010.48	0.0	0.476	0.531	0.766	0	0	512	1073741824	{}
leaf-misses	1	get-miss	before	1	1745.78	0.25	0.553	0.628	0.891	0	0	512	1073741824	{}
leaf-misses	1	mixed	before	1	755.39	363.84	0.702	1.97	16.091	0	0	512	1073741824	{}
leaf-misses	8	put	before	1	9722.02	5827.49	0.518	1.768	4.581	0	0	512	1073741824	{}
leaf-misses	8	get	before	1	1292.59	774.79	0.144	5.55	87.141	0	0	512	1073741824	{}
leaf-misses	8	head-hit	before	1	13091.95	0.0	0.078	1.385	7.46	0	0	512	1073741824	{}
leaf-misses	8	head-miss	before	1	4522.45	0.0	0.587	2.896	19.127	0	0	512	1073741824	{}
leaf-misses	8	get-miss	before	1	5521.77	0.79	0.791	2.724	12.542	0	0	512	1073741824	{}
leaf-misses	8	mixed	before	1	521.92	251.39	1.943	31.704	199.865	0	0	512	1073741824	{}
leaf-misses	32	put	before	1	3109.96	1790.4	1.552	2.584	8.811	0	0	768	1073741824	{}
leaf-misses	32	get	before	1	858.56	494.27	1.25	9.341	147.803	0	0	768	1073741824	{}
leaf-misses	32	head-hit	before	1	10160.01	0.0	0.087	5.167	39.361	0	0	768	1073741824	{}
leaf-misses	32	head-miss	before	1	4027.04	0.0	4.387	13.497	25.726	0	0	768	1073741824	{}
leaf-misses	32	get-miss	before	1	6532.98	0.93	3.061	6.69	15.534	0	0	768	1073741824	{}
leaf-misses	32	mixed	before	1	564.94	261.94	5.452	82.97	644.278	0	0	768	1073741824	{}
leaf-misses	64	put	before	1	13636.94	8174.13	4.106	5.962	21.439	0	0	1536	1073741824	{}
leaf-misses	64	get	before	1	3713.62	2225.98	0.783	23.598	175.394	0	0	1536	1073741824	{}
leaf-misses	64	head-hit	before	1	11421.4	0.0	0.111	11.732	47.376	0	0	1536	1073741824	{}
leaf-misses	64	head-miss	before	1	5783.93	0.0	10.484	16.764	44.39	0	0	1536	1073741824	{}
leaf-misses	64	get-miss	before	1	3743.89	0.54	9.403	31.157	65.946	0	0	1536	1073741824	{}
leaf-misses	64	mixed	before	1	734.56	354.46	11.459	190.192	792.91	0	0	1536	1073741824	{}
leaf-misses	128	put	before	1	6614.89	3965.04	7.756	10.854	39.916	0	0	3072	1073741824	{}
leaf-misses	128	get	before	1	9087.81	5447.33	1.742	30.214	154.119	0	0	3072	1073741824	{}
leaf-misses	128	head-hit	before	1	14058.78	0.0	0.092	23.485	37.975	0	0	3072	1073741824	{}
leaf-misses	128	head-miss	before	1	5005.73	0.0	24.364	32.901	42.94	0	0	3072	1073741824	{}
leaf-misses	128	get-miss	before	1	4873.83	0.7	25.325	34.759	53.589	0	0	3072	1073741824	{}
leaf-misses	128	mixed	before	1	1119.21	537.12	22.14	245.857	1114.94	0	0	3072	1073741824	{}
leaf-misses	256	put	before	1	9594.27	5750.91	20.912	27.756	139.256	0	0	6144	1073741824	{}
leaf-misses	256	get	before	1	4138.0	2480.36	4.865	49.649	880.304	0	0	6144	1073741824	{}
leaf-misses	256	head-hit	before	1	20462.55	0.0	0.112	42.396	54.38	0	0	6144	1073741824	{}
leaf-misses	256	head-miss	before	1	4242.62	0.0	52.534	81.137	233.954	0	0	6144	1073741824	{}
leaf-misses	256	get-miss	before	1	5296.1	0.76	47.778	67.474	109.566	0	0	6144	1073741824	{}
leaf-misses	256	mixed	before	1	3289.1	1574.51	27.198	135.899	997.531	0	0	6144	1073741824	{}
leaf-misses	1	put	after	1	6600.76	3956.57	0.057	0.283	1.977	0	0	512	1073741824	{}
leaf-misses	1	get	after	1	1433.28	859.12	0.617	0.799	2.726	0	0	512	1073741824	{}
leaf-misses	1	head-hit	after	1	1132.51	0.0	0.681	1.076	5.676	0	0	512	1073741824	{}
leaf-misses	1	head-miss	after	1	1031.67	0.0	0.928	1.036	2.364	0	0	512	1073741824	{}
leaf-misses	1	get-miss	after	1	912.85	0.13	0.989	1.115	4.818	0	0	512	1073741824	{}
leaf-misses	1	mixed	after	1	654.97	315.47	0.835	2.005	19.262	0	0	512	1073741824	{}
leaf-misses	8	put	after	1	9245.33	5541.75	0.552	1.808	4.674	0	0	512	1073741824	{}
leaf-misses	8	get	after	1	1547.31	927.47	0.148	4.919	71.011	0	0	512	1073741824	{}
leaf-misses	8	head-hit	after	1	8870.29	0.0	0.089	1.546	19.639	0	0	512	1073741824	{}
leaf-misses	8	head-miss	after	1	1114.91	0.0	1.972	23.393	50.359	0	0	512	1073741824	{}
leaf-misses	8	get-miss	after	1	4096.2	0.59	1.459	3.205	7.266	0	0	512	1073741824	{}
leaf-misses	8	mixed	after	1	567.94	273.55	2.788	34.045	158.749	0	0	512	1073741824	{}
leaf-misses	32	put	after	1	4357.12	2508.39	1.566	2.562	8.979	0	0	768	1073741824	{}
leaf-misses	32	get	after	1	2199.94	1266.5	0.944	7.175	196.763	0	0	768	1073741824	{}
leaf-misses	32	head-hit	after	1	17498.41	0.0	0.124	4.536	9.866	0	0	768	1073741824	{}
leaf-misses	32	head-miss	after	1	2272.35	0.0	12.678	20.218	38.767	0	0	768	1073741824	{}
leaf-misses	32	get-miss	after	1	4129.39	0.59	6.481	11.28	22.73	0	0	768	1073741824	{}
leaf-misses	32	mixed	after	1	774.51	359.11	6.359	50.549	444.04	0	0	768	1073741824	{}
leaf-misses	64	put	after	1	4601.18	2758.0	3.913	5.276	21.293	0	0	1536	1073741824	{}
leaf-misses	64	get	after	1	4062.97	2435.39	0.888	13.845	100.535	0	0	1536	1073741824	{}
